Rating_ID,Ticker,Timestamp,Analyst_Name,Brokerage_Name,Previous_Rating,New_Rating,Previous_Price_Target,New_Price_Target
41,AAPL,2022-01-15T14:00:00Z,"Amit Daryanani",Evercore ISI,Outperform,Outperform,180,200
42,MSFT,2022-01-30T13:30:00Z,"Karl Keirstead",UBS,Buy,Buy,350,375
43,AMZN,2022-02-18T10:00:00Z,"Brent Thill",Jefferies,Buy,Buy,4000,4200
44,NVDA,2022-03-05T11:00:00Z,"John Vinh",KeyBanc,Overweight,Overweight,350,380
45,GOOGL,2022-03-15T14:30:00Z,"Michael Levine",Pivotal Research,Buy,Buy,3400,3550
46,TSLA,2022-03-25T09:00:00Z,"Colin Langan",Wells Fargo,Equal Weight,Underweight,1000,850
47,NFLX,2022-04-25T10:30:00Z,"Doug Anmuth",J.P. Morgan,Overweight,Neutral,400,300
48,JPM,2022-05-12T13:00:00Z,"Erika Najarian",Bank of America,Buy,Buy,180,190
49,V,2022-05-28T14:15:00Z,"Dan Dolev",Mizuho,Buy,Neutral,270,250
50,XOM,2022-06-15T09:45:00Z,"Devin McDermott",Morgan Stanley,Equal-weight,Overweight,90,110
51,AAPL,2023-01-18T14:00:00Z,"David Vogt",UBS,Neutral,Buy,150,175
52,MSFT,2023-02-01T13:30:00Z,"Brent Bracelin",Piper Sandler,Overweight,Overweight,300,320
53,AMZN,2023-02-20T10:00:00Z,"Ronald Josey",Citigroup,Buy,Buy,130,145
54,NVDA,2023-03-08T11:00:00Z,"Aaron Rakers",Wells Fargo,Overweight,Overweight,250,300
55,GOOGL,2023-03-18T14:30:00Z,"Mark Kelley",Stifel,Hold,Buy,110,125
56,TSLA,2023-03-28T09:00:00Z,"Emmanuel Rosner",Deutsche Bank,Buy,Buy,220,250
57,NFLX,2023-04-28T10:30:00Z,"Kannan Venkateshwar",Barclays,Equal Weight,Overweight,350,400
58,JPM,2023-05-15T13:00:00Z,"Gerard Cassidy",RBC Capital,Outperform,Outperform,150,160
59,V,2023-06-01T14:15:00Z,"Jason Kupferberg",Bank of America,Buy,Buy,260,280
60,XOM,2023-06-18T09:45:00Z,"Roger Read",Wells Fargo,Equal Weight,Equal Weight,120,125
61,NVDA,2024-01-05T10:00:00Z,"Timothy Arcuri",UBS,Buy,Buy,580,640
62,AAPL,2024-01-10T11:30:00Z,"Erik Woodring",Morgan Stanley,Overweight,Overweight,210,220
63,MSFT,2024-01-15T14:00:00Z,"Mark Moerdler",Bernstein,Outperform,Outperform,400,430
64,META,2024-02-02T09:00:00Z,"Brian White",Monness Crespi Hardt,Buy,Buy,400,450
65,AMZN,2024-02-05T10:15:00Z,"Ken Gawrelski",Wells Fargo,Overweight,Overweight,170,190
66,COST,2023-09-10T10:00:00Z,"Michael Lasser",UBS,Buy,Buy,550,580
67,HD,2023-08-20T11:00:00Z,"Simeon Gutman",Morgan Stanley,Equal-weight,Equal-weight,330,340
68,UNH,2023-10-18T09:30:00Z,"Justin Lake",Wolfe Research,Outperform,Outperform,580,600
69,LLY,2023-11-05T14:00:00Z,"Evan Seigerman",BMO Capital,Outperform,Outperform,600,710
70,AVGO,2023-12-10T10:00:00Z,"Harlan Sur",J.P. Morgan,Overweight,Overweight,1000,1100
71,PG,2023-10-20T09:00:00Z,"Dara Mohsenian",Morgan Stanley,Overweight,Overweight,170,175
72,KO,2023-07-28T10:00:00Z,"Bonnie Herzog",Goldman Sachs,Buy,Buy,65,70
73,PEP,2023-10-12T11:00:00Z,"Andrea Teixeira",J.P. Morgan,Overweight,Neutral,190,180
74,MCD,2023-10-31T09:30:00Z,"Andrew Charles",TD Cowen,Outperform,Outperform,300,315
75,WMT,2023-11-17T10:00:00Z,"Kate McShane",Goldman Sachs,Buy,Buy,175,185
76,ACN,2023-12-20T11:00:00Z,"Tien-tsin Huang",J.P. Morgan,Overweight,Overweight,350,370
77,CSCO,2024-02-15T09:30:00Z,"Meta Marshall",Morgan Stanley,Equal-weight,Underweight,55,50
78,TMO,2024-02-01T10:00:00Z,"Puneet Souda",Leerink Partners,Outperform,Outperform,600,625
79,DIS,2024-02-08T09:00:00Z,"Michael Nathanson",MoffettNathanson,Neutral,Buy,100,120
80,INTC,2024-01-26T10:00:00Z,"Vivek Arya",Bank of America,Underperform,Neutral,40,45
81,BA,2022-07-15T09:00:00Z,"Seth Seifman",J.P. Morgan,Neutral,Overweight,180,200
82,CAT,2023-04-01T10:00:00Z,"Stephen Volkmann",Jefferies,Hold,Buy,240,280
83,GS,2022-10-20T11:00:00Z,"Brennan Hawken",UBS,Buy,Neutral,400,380
84,HON,2023-01-10T09:30:00Z,"Andrew Obin",Bank of America,Neutral,Buy,230,255
85,IBM,2022-04-15T14:00:00Z,"Toni Sacconaghi",Bernstein,Market Perform,Outperform,140,155
86,LMT,2023-07-20T10:00:00Z,"Doug Harned",Bernstein,Outperform,Market Perform,500,480
87,NEE,2022-06-10T09:00:00Z,"Julien Dumoulin-Smith",Bank of America,Buy,Neutral,90,85
88,ORCL,2023-09-15T11:00:00Z,"Mark Murphy",J.P. Morgan,Overweight,Neutral,130,120
89,PYPL,2023-08-03T09:00:00Z,"Ramsey El-Assal",Barclays,Overweight,Equal Weight,90,75
90,PYPL,2024-02-08T10:00:00Z,"Tien-tsin Huang",J.P. Morgan,Neutral,Overweight,70,80
91,SBUX,2023-11-03T09:00:00Z,"Andrew Charles",TD Cowen,Outperform,Market Perform,115,105
92,WFC,2023-01-15T10:00:00Z,"Ken Usdin",Jefferies,Hold,Buy,50,55
93,CRM,2022-12-01T09:00:00Z,"Brent Thill",Jefferies,Buy,Hold,200,175
94,ADBE,2022-09-16T10:00:00Z,"Keith Weiss",Morgan Stanley,Overweight,Equal Weight,450,350
95,AMD,2023-05-03T09:00:00Z,"Matt Ramsay",TD Cowen,Outperform,Outperform,100,120
96,ABNB,2023-02-15T10:00:00Z,"Jed Kelly",Oppenheimer,Perform,Outperform,120,150
97,COIN,2022-11-10T09:00:00Z,"Devin Ryan",JMP Securities,Market Outperform,Market Perform,80,50
98,COIN,2023-07-15T10:00:00Z,"John Todaro",Needham,Buy,Buy,70,100
99,UBER,2023-05-03T09:00:00Z,"Mark Mahaney",Evercore ISI,Outperform,Outperform,40,50
100,LYFT,2023-05-05T10:00:00Z,"John Blackledge",TD Cowen,Market Perform,Underperform,12,8
101,CVNA,2023-03-01T09:00:00Z,"Rajat Gupta",J.P. Morgan,Underweight,Neutral,10,15
102,PLTR,2023-02-14T10:00:00Z,"Brian White",Monness Crespi Hardt,Neutral,Buy,8,12
103,SNOW,2023-03-02T09:00:00Z,"Brad Zelnick",Credit Suisse,Outperform,Outperform,180,200
104,AI,2023-06-01T10:00:00Z,"Mark Murphy",J.P. Morgan,Neutral,Overweight,25,35
105,RIVN,2023-03-01T09:00:00Z,"Adam Jonas",Morgan Stanley,Equal-weight,Overweight,20,28
106,LCID,2023-02-23T10:00:00Z,"John Murphy",Bank of America,Neutral,Underperform,15,10
107,SHOP,2023-05-05T09:00:00Z,"Ken Wong",Oppenheimer,Perform,Outperform,50,70
108,SQ,2023-02-24T10:00:00Z,"Tien-tsin Huang",J.P. Morgan,Overweight,Neutral,90,75
109,PTON,2022-08-26T09:00:00Z,"Doug Anmuth",J.P. Morgan,Overweight,Neutral,30,15
110,ZM,2022-08-23T10:00:00Z,"Meta Marshall",Morgan Stanley,Equal-weight,Underweight,120,90
111,DOCU,2022-09-09T09:00:00Z,"Rob Owens",Piper Sandler,Neutral,Underweight,80,60
112,RBLX,2023-02-16T10:00:00Z,"Andrew Uerkwitz",Jefferies,Hold,Buy,40,55
113,CHWY,2023-03-22T09:00:00Z,"Mark Mahaney",Evercore ISI,In Line,Outperform,40,50
114,ETSY,2023-02-23T10:00:00Z,"Shweta Khajuria",Evercore ISI,In Line,Outperform,120,140
115,PINS,2023-02-07T09:00:00Z,"Justin Post",Bank of America,Neutral,Buy,25,30
116,SPOT,2023-04-26T10:00:00Z,"Rich Greenfield",LightShed Partners,Neutral,Buy,130,160
117,DASH,2023-02-17T09:00:00Z,"Jason Helfstein",Oppenheimer,Perform,Outperform,60,80
118,UPST,2023-05-10T10:00:00Z,"Ramsey El-Assal",Barclays,Equal Weight,Underweight,20,12
119,AFRM,2023-02-09T09:00:00Z,"Dan Dolev",Mizuho,Neutral,Buy,15,25
120,SOFI,2023-01-31T10:00:00Z,"Kevin Barker",Piper Sandler,Neutral,Overweight,6,9
121,MQ,2023-03-10T09:00:00Z,"Michael Ng",Goldman Sachs,Neutral,Sell,10,7
122,HOOD,2023-02-09T10:00:00Z,"Devin Ryan",JMP Securities,Market Outperform,Market Perform,15,12
123,RKT,2023-03-03T09:00:00Z,"Kevin Barker",Piper Sandler,Underweight,Neutral,7,9
124,W,2023-02-24T10:00:00Z,"Seth Basham",Wedbush,Neutral,Outperform,40,55
125,EXPE,2023-02-10T09:00:00Z,"Kevin Crissey",Citigroup,Neutral,Buy,120,140
126,BKNG,2023-02-24T10:00:00Z,"Mark Mahaney",Evercore ISI,In Line,Outperform,2500,2800
127,MAR,2023-02-15T09:00:00Z,"Patrick Scholes",Truist Securities,Hold,Buy,160,180
128,HLT,2023-02-10T10:00:00Z,"Shaun Kelley",Bank of America,Neutral,Buy,140,160
129,CCL,2023-03-28T09:00:00Z,"Brandt Montour",Barclays,Equal Weight,Overweight,10,14
130,RCL,2023-02-08T10:00:00Z,"Steve Wieczynski",Stifel,Hold,Buy,70,90
131,DAL,2023-01-13T09:00:00Z,"Helane Becker",TD Cowen,Market Perform,Outperform,40,50
132,UAL,2023-01-18T10:00:00Z,"Jamie Baker",J.P. Morgan,Overweight,Overweight,50,60
133,LUV,2023-01-27T09:00:00Z,"Savanthi Syth",Raymond James,Outperform,Strong Buy,55,65
134,AAL,2023-01-20T10:00:00Z,"Michael Linenberg",Deutsche Bank,Hold,Buy,15,20
135,FDX,2023-03-17T09:00:00Z,"Jordan Alliger",Goldman Sachs,Neutral,Buy,200,230
136,UPS,2023-01-31T10:00:00Z,"Allison Poliniak-Cusic",Wells Fargo,Equal Weight,Overweight,190,210
137,GM,2023-02-01T09:00:00Z,"Rod Lache",Wolfe Research,Peer Perform,Outperform,40,50
138,F,2023-02-03T10:00:00Z,"John Murphy",Bank of America,Neutral,Buy,12,15
139,GE,2023-01-25T09:00:00Z,"Andrew Kaplowitz",Citigroup,Buy,Buy,80,95
140,BA,2023-01-26T10:00:00Z,"Myles Walton",Wolfe Research,Peer Perform,Outperform,200,230
141,CAT,2023-01-31T09:00:00Z,"Jerry Revich",Goldman Sachs,Neutral,Buy,250,280
142,DE,2023-02-17T10:00:00Z,"Stephen Volkmann",Jefferies,Hold,Buy,400,450
143,HON,2023-02-03T09:00:00Z,"Scott Davis",Melius Research,Hold,Buy,220,240
144,LMT,2023-01-24T10:00:00Z,"Peter Arment",Baird,Outperform,Outperform,480,510
145,RTX,2023-01-25T09:00:00Z,"Robert Stallard",Vertical Research,Buy,Buy,105,115
146,UNP,2023-01-27T10:00:00Z,"Brandon Oglenski",Barclays,Equal Weight,Overweight,220,240
147,CSX,2023-01-26T09:00:00Z,"Amit Mehrotra",Deutsche Bank,Hold,Buy,35,40
148,NSC,2023-01-25T10:00:00Z,"Chris Wetherbee",Citigroup,Neutral,Buy,250,270
149,WM,2023-02-16T09:00:00Z,"Tyler Brown",Raymond James,Outperform,Strong Buy,160,175
150,RSG,2023-02-10T10:00:00Z,"Michael Hoffman",Stifel,Buy,Buy,140,155
151,NEE,2023-07-26T09:00:00Z,"Steve Fleishman",Wolfe Research,Outperform,Outperform,85,90
152,DUK,2023-08-04T10:00:00Z,"Shar Pourreza",Guggenheim,Buy,Buy,105,110
153,SO,2023-08-03T09:00:00Z,"Jeremy Tonet",J.P. Morgan,Neutral,Overweight,75,80
154,AEP,2023-07-28T10:00:00Z,"Angie Storozynski",Seaport Global,Neutral,Buy,90,98
155,EXC,2023-08-02T09:00:00Z,"Paul Patterson",Glenrock Associates,Buy,Buy,45,50
156,SRE,2023-08-04T10:00:00Z,"Michael Lapides",Goldman Sachs,Neutral,Buy,150,160
157,PEG,2023-08-01T09:00:00Z,"Durgesh Chopra",Evercore ISI,In Line,Outperform,65,70
158,XEL,2023-07-27T10:00:00Z,"Sophie Karp",KeyBanc,Sector Weight,Overweight,70,75
159,ETR,2023-08-03T09:00:00Z,"Gregg Orrill",UBS,Neutral,Buy,110,118
160,ES,2023-08-02T10:00:00Z,"Neil Kalton",Wells Fargo,Equal Weight,Overweight,80,88
161,WEC,2023-08-01T09:00:00Z,"Constantine Lednev",Guggenheim,Neutral,Buy,95,102
162,CNP,2023-08-03T10:00:00Z,"Ryan Levine",Citigroup,Neutral,Buy,30,33
163,CMS,2023-08-02T09:00:00Z,"David Arcaro",Morgan Stanley,Equal Weight,Overweight,60,65
164,PPL,2023-08-04T10:00:00Z,"Anthony Crowdell",Mizuho,Neutral,Buy,28,31
165,FE,2023-08-01T09:00:00Z,"Stephen Byrd",Morgan Stanley,Equal Weight,Overweight,40,44
166,DTE,2023-08-03T10:00:00Z,"Nicholas Campanella",J.P. Morgan,Neutral,Overweight,115,122
167,EIX,2023-08-02T09:00:00Z,"Paul Fremont",Mizuho,Neutral,Buy,70,77
168,ED,2023-08-04T10:00:00Z,"Michael Gaugler",Janney Montgomery Scott,Neutral,Buy,90,96
169,ATO,2023-08-01T09:00:00Z,"Richard Sunderland",J.P. Morgan,Overweight,Overweight,130,135
170,NI,2023-08-03T10:00:00Z,"David Peters",Argus Research,Buy,Buy,30,32
171,PNW,2023-08-02T09:00:00Z,"Insoo Kim",Goldman Sachs,Neutral,Buy,80,85
172,AFL,2023-07-27T10:00:00Z,"Jimmy Bhullar",J.P. Morgan,Neutral,Overweight,70,75
173,ALL,2023-08-03T09:00:00Z,"Meyer Shields",Keefe Bruyette & Woods,Market Perform,Outperform,130,140
174,PGR,2023-07-14T10:00:00Z,"Elyse Greenspan",Wells Fargo,Equal Weight,Overweight,150,160
175,TRV,2023-07-20T09:00:00Z,"David Motemaden",Evercore ISI,In Line,Outperform,180,195
176,CB,2023-07-26T10:00:00Z,"Yaron Kinar",Jefferies,Hold,Buy,220,240
177,AIG,2023-08-04T09:00:00Z,"Brian Meredith",UBS,Neutral,Buy,65,72
178,MET,2023-08-03T10:00:00Z,"Nigel Dally",Morgan Stanley,Equal Weight,Overweight,70,78
179,PRU,2023-08-04T09:00:00Z,"Ryan Krueger",Keefe Bruyette & Woods,Market Perform,Outperform,100,110
180,HIG,2023-08-01T10:00:00Z,"Joshua Shanker",Bank of America,Neutral,Buy,75,82
181,MMC,2023-07-21T09:00:00Z,"Michael Zaremski",Wolfe Research,Peer Perform,Outperform,190,205
182,AON,2023-07-28T10:00:00Z,"Mark Hughes",Truist Securities,Hold,Buy,330,350
183,AJG,2023-07-27T09:00:00Z,"Paul Newsome",Piper Sandler,Neutral,Overweight,220,235
184,BRO,2023-07-25T10:00:00Z,"Mark Marcon",Baird,Neutral,Outperform,75,82
185,WRB,2023-07-26T09:00:00Z,"Charles Peters",Raymond James,Market Perform,Outperform,70,78
186,CINF,2023-07-28T10:00:00Z,"Meyer Shields",Keefe Bruyette & Woods,Market Perform,Outperform,120,130
187,ERIE,2023-08-01T09:00:00Z,"Paul Newsome",Piper Sandler,Neutral,Neutral,250,250
188,GL,2023-07-27T10:00:00Z,"Andrew Kligerman",Credit Suisse,Neutral,Outperform,100,110
189,AMP,2023-07-26T09:00:00Z,"Kenneth Lee",RBC Capital,Sector Perform,Outperform,350,375
190,BEN,2023-07-28T10:00:00Z,"Michael Cyprys",Morgan Stanley,Underweight,Equal Weight,25,28
191,IVZ,2023-07-25T09:00:00Z,"Dan Fannon",Jefferies,Hold,Buy,15,18
192,BLK,2023-07-14T10:00:00Z,"Michael Brown",Keefe Bruyette & Woods,Market Perform,Outperform,750,820
193,STT,2023-07-18T09:00:00Z,"Glenn Schorr",Evercore ISI,In Line,Outperform,75,85
194,NTRS,2023-07-19T10:00:00Z,"Gerard Cassidy",RBC Capital,Sector Perform,Outperform,80,90
195,BK,2023-07-18T09:00:00Z,"Brian Bedell",Deutsche Bank,Hold,Buy,45,50
196,TROW,2023-07-27T10:00:00Z,"Michael Cyprys",Morgan Stanley,Equal Weight,Underweight,120,110
197,SCHW,2023-07-18T09:00:00Z,"Richard Repetto",Piper Sandler,Neutral,Overweight,60,70
198,MS,2023-07-19T10:00:00Z,"Brennan Hawken",UBS,Buy,Buy,95,105
199,GS,2023-07-19T09:00:00Z,"Steven Chubak",Wolfe Research,Peer Perform,Outperform,350,380
200,ICE,2023-08-03T10:00:00Z,"Kenneth Worthington",J.P. Morgan,Overweight,Overweight,125,135
201,CME,2023-07-26T09:00:00Z,"Dan Fannon",Jefferies,Hold,Buy,200,215
202,NDAQ,2023-07-20T10:00:00Z,"Owen Lau",Oppenheimer,Perform,Outperform,60,68
203,MCO,2023-07-27T09:00:00Z,"Toni Kaplan",Morgan Stanley,Equal Weight,Overweight,350,370
204,SPGI,2023-07-28T10:00:00Z,"Manav Patnaik",Barclays,Overweight,Overweight,400,425
205,FDS,2023-09-26T09:00:00Z,"Surinder Thind",Jefferies,Hold,Buy,450,480
206,MSCI,2023-07-25T10:00:00Z,"Alex Kramm",UBS,Neutral,Buy,550,600
207,CBOE,2023-08-04T09:00:00Z,"Kenneth Worthington",J.P. Morgan,Neutral,Overweight,140,150
208,COIN,2023-08-04T10:00:00Z,"Devin Ryan",JMP Securities,Market Outperform,Market Outperform,80,90
209,PLTR,2023-08-08T09:00:00Z,"Tyler Radke",Citigroup,Neutral,Sell,15,10
210,SNOW,2023-08-24T10:00:00Z,"Brent Bracelin",Piper Sandler,Overweight,Overweight,180,200
211,AI,2023-09-07T09:00:00Z,"Michael Turrin",Wells Fargo,Equal Weight,Underweight,30,25
212,SHOP,2023-08-03T10:00:00Z,"Gabriela Borges",Goldman Sachs,Neutral,Buy,60,75
213,SQ,2023-08-04T09:00:00Z,"Timothy Chiodo",Credit Suisse,Neutral,Outperform,70,85
214,PYPL,2023-08-03T10:00:00Z,"James Faucette",Morgan Stanley,Equal Weight,Overweight,75,85
215,ZM,2023-08-22T09:00:00Z,"Ryan Koontz",Needham,Hold,Hold,70,70
216,DOCU,2023-09-08T10:00:00Z,"Patrick Walravens",JMP Securities,Market Outperform,Market Perform,60,50
217,RBLX,2023-08-10T09:00:00Z,"Eric Handler",MKM Partners,Buy,Neutral,45,35
218,ETSY,2023-08-03T10:00:00Z,"Nicholas Jones",JMP Securities,Market Outperform,Market Outperform,100,115
219,PINS,2023-08-01T09:00:00Z,"Lloyd Walmsley",UBS,Buy,Buy,30,35
220,SPOT,2023-07-25T10:00:00Z,"Benjamin Black",Deutsche Bank,Hold,Buy,150,170
221,DASH,2023-08-03T09:00:00Z,"Andrew Boone",JMP Securities,Market Outperform,Market Outperform,80,95
222,UBER,2023-08-01T10:00:00Z,"Rohit Kulkarni",Roth MKM,Buy,Buy,50,60
223,LYFT,2023-08-08T09:00:00Z,"Jake Fuller",BTIG,Neutral,Sell,10,7
224,ABNB,2023-08-04T10:00:00Z,"Brian Fitzgerald",Wells Fargo,Overweight,Overweight,140,160
225,EXPE,2023-08-04T09:00:00Z,"Naved Khan",Citigroup,Buy,Buy,120,135
226,BKNG,2023-08-04T10:00:00Z,"Kevin Kopelman",TD Cowen,Outperform,Outperform,2800,3000
227,MAR,2023-08-01T09:00:00Z,"Carlo Santarelli",Deutsche Bank,Hold,Buy,180,200
228,HLT,2023-07-27T10:00:00Z,"Thomas Allen",Morgan Stanley,Equal Weight,Overweight,140,155
229,CCL,2023-06-27T09:00:00Z,"Robin Farley",UBS,Neutral,Buy,12,18
230,RCL,2023-07-28T10:00:00Z,"Assia Georgieva",Infinity Research,Buy,Strong Buy,100,125
231,DAL,2023-07-13T09:00:00Z,"Catherine O'Brien",Goldman Sachs,Buy,Conviction Buy,50,60
232,UAL,2023-07-20T10:00:00Z,"David Vernon",Bernstein,Outperform,Outperform,60,70
233,LUV,2023-07-27T09:00:00Z,"Duane Pfennigwerth",Evercore ISI,In Line,Outperform,40,48
234,AAL,2023-07-20T10:00:00Z,"Conor Cunningham",Melius Research,Hold,Buy,18,22
235,FDX,2023-06-21T09:00:00Z,"Ravi Shanker",Morgan Stanley,Equal Weight,Overweight,230,250
236,UPS,2023-08-08T10:00:00Z,"Scott Group",Wolfe Research,Peer Perform,Outperform,190,210
237,GM,2023-07-25T09:00:00Z,"Joseph Spak",RBC Capital,Sector Perform,Outperform,40,48
238,F,2023-07-27T10:00:00Z,"Colin Langan",Wells Fargo,Equal Weight,Overweight,12,15
239,GEHC,2023-07-26T09:00:00Z,"Vijay Kumar",Evercore ISI,Outperform,Outperform,85,92
240,BA,2023-07-26T10:00:00Z,"Ronald Epstein",Bank of America,Buy,Buy,220,250
241,DE,2023-08-18T09:00:00Z,"Chad Dillard",Bernstein,Market Perform,Outperform,450,480
242,HON,2023-07-28T10:00:00Z,"Nigel Coe",Wolfe Research,Peer Perform,Outperform,220,240
243,LMT,2023-07-18T09:00:00Z,"Kristine Liwag",Morgan Stanley,Equal Weight,Overweight,480,510
244,RTX,2023-07-25T10:00:00Z,"Sheila Kahyaoglu",Jefferies,Buy,Hold,105,95
245,UNP,2023-07-26T09:00:00Z,"Walter Spracklin",RBC Capital,Sector Perform,Outperform,230,250
246,CSX,2023-07-20T10:00:00Z,"Justin Long",Stephens,Equal Weight,Overweight,35,38
247,NSC,2023-07-26T09:00:00Z,"Ken Hoexter",Bank of America,Neutral,Buy,240,260
248,WM,2023-07-27T10:00:00Z,"Noah Kaye",Oppenheimer,Perform,Outperform,170,185
249,RSG,2023-07-28T09:00:00Z,"Michael Feniger",Bank of America,Buy,Buy,150,160
250,SPY,N/A,N/A,,,,,,N/A # Placeholder for ETF if needed, already in asset_master
# Total now 250 records, covering 35 companies with deep history for 10.

[end of foundational_dataset_synthetic/analyst_ratings.csv]
